Code	County
BB      București
AB	    Alba
AR	    Arad
AG	    Arges
BC	    Bacău
BH	    Bihor
BN	    Bistrița-Năsăud
BT	    Botoșani
BV	    Brașov
BR	    Brăila
BZ	    Buzău
CS	    Caraș-Severin
CL	    Călărași
CJ	    Cluj
CT	    Constanța
CV	    Covasna
DB	    Dâmbovița
DJ	    Dolj
GL	    Galați
GR	    Giurgiu
GJ	    Gorj
HR	    Harghita
HD	    Hunedoara
IL	    Ialomița
IS	    Iași
IF	    Ilfov
MM	    Maramureș
MH	    Mehedinți
MS	    Mureș
NT	    Neamț
OT	    Olt
PH	    Prahova
SM	    Satu Mare
SJ	    Sălaj
SB	    Sibiu
SV	    Suceava
TR	    Teleorman
TM	    Timiș
TL	    Tulcea
VL	    Vâlcea
VS	    Vaslui
VN	    Vrancea
